"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","landing_aircraft_type","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","landing_count","total_landed_weight"
200901,"American Eagle Airlines","MQ","American Airlines","AA","Domestic","US","Passenger","Regional Jet","Embraer","ERJ","140",142,5854092
200901,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","McDonnell Douglas","MD-80","SP",189,24570000
200901,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","McDonnell Douglas","MD-80","83",314,40820000
200901,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Wide Body","Boeing","777","-",2,920000
200901,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Wide Body","Boeing","767","300",125,38750000
200901,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Wide Body","Boeing","767","200",95,25650000
200901,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Boeing","757","-",212,41976000
200901,"Allegiant Air","G4","Allegiant Air","G4","Domestic","US","Passenger","Narrow Body","McDonnell Douglas","MD-80","-",10,1395000
200901,"All Nippon Airways","NH","All Nippon Airways","NH","International","Asia","Passenger","Wide Body","Boeing","777","300ER",31,17174000
200901,"Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Passenger","Narrow Body","Boeing","737","900",30,4389000
200901,"Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Passenger","Narrow Body","Boeing","737","900",29,4242700
200901,"Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Passenger","Narrow Body","Boeing","737","800",2,288000
200901,"Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Passenger","Narrow Body","Boeing","737","700",1,129200
200901,"Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Passenger","Narrow Body","Boeing","737","700",100,12920000
200901,"Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Passenger","Narrow Body","Boeing","737","400",31,3751000
200901,"Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Passenger","Narrow Body","Boeing","737","400",250,30250000
200901,"AirTran Airways","FL","AirTran Airways","FL","Domestic","US","Passenger","Narrow Body","Boeing","737","700",33,4224000
200901,"Air New Zealand","NZ","Air New Zealand","NZ","International","Australia / Oceania","Passenger","Wide Body","Boeing","777","200",11,5170000
200812,"Lufthansa German Airlines","LH","Lufthansa German Airlines","LH","International","Europe","Passenger","Wide Body","Boeing","747","430",30,18900000
200812,"Virgin Atlantic","VS","Virgin Atlantic","VS","International","Europe","Passenger","Wide Body","Boeing","747","400",30,18900000
200812,"Virgin America","VX","Virgin America","VX","Domestic","US","Passenger","Narrow Body","Airbus","A320","-",497,70673400
200812,"Virgin America","VX","Virgin America","VX","Domestic","US","Passenger","Narrow Body","Airbus","A319","-",266,36654800
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Mexico","Passenger","Narrow Body","Airbus","A320","232",62,8816276
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","Domestic","US","Passenger","Narrow Body","Airbus","A320","232",809,115038182
200812,"United Airlines - Pre 07/01/2013","UA","United Airlines - Pre 07/01/2013","UA","International","Canada","Passenger","Narrow Body","Airbus","A320","214",27,3839319
